C_m/delta,δ=-5.0°,δ=-4.0°,δ=-3.0°,δ=-2.0°,δ=-1.0°,δ=0.0°,δ=1.0°,δ=2.0°,δ=3.0°,δ=4.0°,δ=5.0°,δ=6.0°,δ=7.0°,δ=8.0°,δ=9.0°,δ=10.0°,δ=11.0°,δ=12.0°,δ=13.0°,δ=14.0°,δ=15.0°,δ=16.0°,δ=17.0°,δ=18.0°,δ=19.0°,δ=20.0°
α=5.0°,0.0779445335627172,0.06998603960213476,0.0619082251804678,0.0537394811024565,0.04550424958785467,0.037227779536941404,0.029045754459708327,0.020886994133126106,0.012793064782263585,0.0047811128199973674,-0.0031278729129817747,-0.010915111598598667,-0.01856222844094117,-0.026044461954148952,-0.033334302014172174,-0.04040662159030619,-0.04723005903232522,-0.053765374567732845,-0.059965109598840244,-0.06577472536324688,-0.071121215604422,-0.07544157467416193,-0.07916302084397019,-0.08301446343160576,-0.0868469061136501,-0.09059096104899528
α=6.0°,0.07861524734602246,0.07072105953413915,0.0627160282455315,0.05462980800503717,0.0464859754888124,0.03831023286832079,0.030257184020004844,0.022235192227279037,0.014288826492516706,0.006438231776465425,-0.0013028753044449833,-0.008912602099099136,-0.016364440929598274,-0.02363840708717544,-0.030711775142235154,-0.037551967145371436,-0.044119427136875826,-0.050376492890992636,-0.05627508293319781,-0.06175134192914224,-0.06633897650025149,-0.0702011595638979,-0.07416861415274703,-0.07810454476672186,-0.0819796825099257,-0.08579785194515528
α=7.0°,0.07925606477280958,0.07145829904680193,0.06355865535396253,0.055585595087574,0.04756469919211461,0.03952347788553461,0.031629888362860605,0.023781522957529083,0.01602024267837272,0.008362799179899466,0.0008313367967804605,-0.006553062418395377,-0.013769606473876718,-0.02079306713081882,-0.027589922393810844,-0.03412888065102866,-0.040372565369209606,-0.04627252950157603,-0.05176685993269588,-0.05626631019764535,-0.06028987963978937,-0.0643917920914975,-0.06847788118170672,-0.07245842192456962,-0.0764112605389309,-0.08016888212938172
α=8.0°,0.0799127299898675,0.0722472016298746,0.06449013250174654,0.05666953471793348,0.04880763539480176,0.04093755920472604,0.03324692697640257,0.025610961660604167,0.0180762789426612,0.010665741410682605,0.0033914785187216627,-0.0037205391625431197,-0.010638360519218503,-0.017335342884065557,-0.023781908619042835,-0.029936777826304252,-0.03574719143541039,-0.041001556967345885,-0.04525579792454763,-0.04950199791644871,-0.05373839969282422,-0.057955626339011745,-0.06208450590952789,-0.06611239323293881,-0.07001375433210329,-0.07382962882758957
α=9.0°,0.08064619222400653,0.07315976714977299,0.06558962637346386,0.057965467043546506,0.05031032234931062,0.042661622041472474,0.03522041170002443,0.027854639534552143,0.020610545165367294,0.013502061466283506,0.006554633325797137,-0.0001958734923279935,-0.0067259875159496755,-0.013001166607815579,-0.018972651000759,-0.024486141214675832,-0.028998796827203032,-0.033435888592207384,-0.03787611683132045,-0.04229557697262819,-0.046643113236666395,-0.0508756508643563,-0.05501362215785449,-0.05903410466263471,-0.06288399992842379,-0.06668095735122388
α=10.0°,0.0815535980933496,0.07430715905987745,0.06698759624269904,0.05962490939019494,0.05223569370689135,0.044871364450872,0.037759836728731684,0.03074227467804115,0.023868886601598204,0.017174133564735038,0.01067662232377385,0.0044101835289777555,-0.0015744319502849645,-0.006868217147088612,-0.011526561712914912,-0.01622068815942986,-0.02092322092046272,-0.025559172850963062,-0.03013674117966004,-0.034590399136609364,-0.03895969249294858,-0.04316763039947405,-0.04732422791698882,-0.05126680067431923,-0.05509745858305508,-0.05884248383271827
α=11.0°,0.0828139526060284,0.07590392167284891,0.06892775400503896,0.061920130927497784,0.05490125131466959,0.04793613410417364,0.041274082956086734,0.03474792051191359,0.028436813032058344,0.02235773506631542,0.016987671891471073,0.012036258852845571,0.007050359611549079,0.002055884248623482,-0.002931741169283126,-0.007833571008878298,-0.012671887820024201,-0.01735904220400048,-0.021977433351203432,-0.026418623460709733,-0.030761476381675545,-0.03501428299021834,-0.03905768600530984,-0.0429929201601222,-0.04681435436860601,-0.050383831580756294
α=12.0°,0.08483455247050978,0.0784714560709744,0.07205531372438698,0.06562069563648067,0.05918408300578224,0.05304747056845658,0.04777215431979955,0.042504667505834315,0.03718423401247697,0.031818088528438114,0.026445221186069026,0.0211128706738657,0.01583593047686614,0.010651041514833096,0.005542989220726903,0.000558687853717555,-0.004276847023196136,-0.009016441555336234,-0.013611869722294528,-0.018059945839998197,-0.022406251112288684,-0.026593781100836288,-0.030615955359195864,-0.034544989225487245,-0.040679671797046624,-0.04553175168890146
α=13.0°,0.08785703413714827,0.08239760593030741,0.07685091925358413,0.07128042092503516,0.0657516414112556,0.06019740162969357,0.05485888483226152,0.04952081050779828,0.04416014161944511,0.03880128877271912,0.03345712969034269,0.028138892942870718,0.022872750643612643,0.017672686011836927,0.012556020118764,0.007526512664134098,0.002581223936721462,-0.002285456116625513,-0.00709832617822628,-0.011898594737274594,-0.01675292044257265,-0.02169573399664218,-0.02677711225888377,-0.0319646893067043,-0.03632218055187546,-0.04092696612038846
α=14.0°,0.08565791889708971,0.07949884551249643,0.07336124450008737,0.06702839083771324,0.06088637478507113,0.05456482360501647,0.04860611231857143,0.04257211246430901,0.03652346206142395,0.030589212431395823,0.02447614312077747,0.018510932890525782,0.012641887526367778,0.0064780168788506716,0.0005832868265849148,-0.005654108764130523,-0.011736984331590037,-0.017903721607246816,-0.02422716919741439,-0.030166237224133436,-0.03674654817951595,-0.04262846118290301,-0.048974211677461,-0.05485398896776039,-0.045588084759817925,-0.043257525440103195
α=15.0°,0.08148174277472772,0.0747988166228112,0.0681070963917029,0.06131008625254855,0.054416521057641144,0.04758552554834493,0.04094174959614224,0.03444364121313859,0.027673910073620085,0.021033374172206215,0.01455110348964356,0.007691269953915738,0.0011949708504341953,-0.0052065562391160015,-0.012005994379500775,-0.018475911380793075,-0.024791555957104684,-0.03157508223923452,-0.03785873703826784,-0.04395957534070289,-0.05038059138312524,-0.056467404252168,-0.0622166255984827,-0.06781538803612013,-0.05670173639796902,-0.04997963091903611
α=16.0°,0.07623945727256977,0.06916620284246182,0.062057578588156644,0.05490892406155648,0.04758193851165589,0.04027593436677303,0.033342977769226435,0.02651406738171414,0.019298714104475187,0.012366538866941681,0.005524401998666343,-0.001608313759540497,-0.008385819376274974,-0.01505075456032201,-0.02204144414720343,-0.028781443999696277,-0.035263233150588436,-0.041680719649012946,-0.04848500222080668,-0.05468864138938837,-0.06067338235339019,-0.06655722346238503,-0.07277459841990071,-0.07845779286949392,-0.06757976463373147,-0.05877969777638379
α=17.0°,0.0704628400420561,0.06333551953210305,0.05576650776664175,0.0481167532088532,0.04082026742898782,0.03315600920479891,0.02598568217506168,0.018519080012577783,0.011388889059934664,0.0041377733092857055,-0.003195549518125235,-0.010098316572252321,-0.01696861290108479,-0.02425740786329409,-0.031060378461238634,-0.03768296897237985,-0.044239447042092275,-0.05114203940404213,-0.05750181063935113,-0.06362803252233566,-0.06965372654193287,-0.07556005814640011,-0.08172432454155783,-0.08732419912184401,-0.07745198187778773,-0.06811583982708576
α=18.0°,0.06458414287385578,0.057090299219211584,0.04936329860544572,0.04139794187255874,0.0336803263847095,0.026022895111094985,0.018408306277867624,0.010957733062161528,0.003632592623321968,-0.003874525222774371,-0.011181362392143969,-0.01819950393798914,-0.025184671408088048,-0.0324800949472974,-0.03937536873549898,-0.04600664099847169,-0.0525284837114232,-0.059204719580368,-0.05835326510985957,-0.060990648816097615,-0.06532218767901524,-0.07044112291270768,-0.0820841305557224,-0.09408694421290172,-0.08576946304534472,-0.07694265143621523
α=19.0°,0.058418195419273795,0.05084055309608786,0.042720121492062745,0.034498392158150884,0.026829647702870472,0.018790490561645716,0.011258679236992012,0.003394386811946553,-0.004052976817626316,-0.011357550136010579,-0.018980180855122174,-0.0261434067413779,-0.03311228921859978,-0.040015342039761294,-0.047292114853299705,-0.054054486342347885,-0.06056096696731718,-0.06696864493574428,-0.06266095502280192,-0.061825801919449766,-0.06357399479923251,-0.0670075588559701,-0.08353824843016316,-0.10152305587879701,-0.09364625946207086,-0.08529445544914305
α=20.0°,0.052112789960802104,0.04420655776376022,0.03584467778610472,0.027531795289993024,0.019667516662636598,0.011418548184658999,0.003838494510854231,-0.004009794921500254,-0.011735911574818765,-0.01907461274956012,-0.026332739197843322,-0.03392230685938596,-0.033517298038992865,-0.036766320039377076,-0.04202921744633839,-0.04804185189434314,-0.05430140943083016,-0.06063502718328722,-0.06164799110304457,-0.06173689651124717,-0.06265544565523984,-0.06483150225560497,-0.08596843675625743,-0.10953555958300412,-0.10159090952253749,-0.09344268248584027
